Date;Open,Open
2021-09-20;359.299988,
2021-09-21;358.500000,
2021-09-22;347.230011,
2021-09-23;345.359985,
2021-09-24;343.239990,
2021-09-27;349.809998,
2021-09-28;347.970001,
2021-09-29;343.149994,
2021-09-30;340.450012,
2021-10-01;341.609985,
2021-10-04;335.529999,
2021-10-05;328.579987,
2021-10-06;329.739990,
2021-10-07;337.000000,
2021-10-08;331.510010,
2021-10-11;327.630005,
2021-10-12;323.029999,
2021-10-13;326.970001,
2021-10-14;328.359985,
2021-10-15;328.679993,
2021-10-18;328.950012,
2021-10-19;339.649994,
2021-10-20;343.450012,
2021-10-21;340.279999,
2021-10-22;326.350006,
2021-10-25;320.299988,
2021-10-26;328.260010,
2021-10-27;314.190002,
2021-10-28;312.989990,
2021-10-29;320.190002,
2021-11-01;326.040009,
2021-11-02;331.380005,
2021-11-03;327.489990,
2021-11-04;334.010010,
2021-11-05;340.309998,
2021-11-08;344.420013,
2021-11-09;340.000000,
2021-11-10;332.489990,
2021-11-11;329.820007,
2021-11-12;330.179993,
2021-11-15;344.339996,
2021-11-16;343.829987,
2021-11-17;344.239990,
2021-11-18;339.720001,
2021-11-19;342.200012,
2021-11-22;349.049988,
2021-11-23;338.929993,
2021-11-24;336.000000,
2021-11-26;335.799988,
2021-11-29;336.890015,
2021-11-30;335.000000,
2021-12-01;330.290009,
2021-12-02;311.399994,
2021-12-03;313.730011,
2021-12-06;308.130005,
2021-12-07;321.570007,
2021-12-08;325.000000,
2021-12-09;329.540009,
2021-12-10;332.559998,
2021-12-13;330.950012,
2021-12-14;328.049988,
2021-12-15;332.489990,
2021-12-16;338.980011,
2021-12-17;332.799988,
2021-12-20;329.779999,
2021-12-21;326.410004,
2021-12-22;333.799988,
2021-12-23;330.100006,
2021-12-27;338.850006,
2021-12-28;346.630005,
2021-12-29;346.910004,
2021-12-30;344.000000,
2021-12-31;343.019989,
2022-01-03;338.299988,
2022-01-04;339.950012,
2022-01-05;333.019989,
2022-01-06;322.820007,
2022-01-07;332.739990,
2022-01-10;325.309998,
2022-01-11;326.779999,
2022-01-12;335.179993,
2022-01-13;334.980011,
2022-01-14;321.790009,
2022-01-18;323.290009,
2022-01-19;319.579987,
2022-01-20;323.899994,
2022-01-21;314.809998,
2022-01-24;297.839996,
2022-01-25;299.950012,
2022-01-26;307.010010,
2022-01-27;297.750000,
2022-01-28;295.619995,
2022-01-31;300.679993,
2022-02-01;314.559998,
2022-02-02;327.820007,
2022-02-03;244.649994,
2022-02-04;234.970001,
2022-02-07;237.699997,
2022-02-08;220.850006,
2022-02-09;224.199997,
2022-02-10;228.270004,
2022-02-11;228.460007,
2022-02-14;219.309998,
2022-02-15;220.470001,
2022-02-16;212.410004,
2022-02-17;214.020004,
2022-02-18;209.389999,
2022-02-22;202.339996,
2022-02-23;204.160004,
2022-02-24;191.059998,
2022-02-25;204.940002,
2022-02-28;207.679993,
2022-03-01;209.869995,
2022-03-02;204.779999,
2022-03-03;209.020004,
2022-03-04;202.369995,
2022-03-07;200.789993,
2022-03-08;187.850006,
2022-03-09;195.740005,
2022-03-10;194.839996,
2022-03-11;192.639999,
2022-03-14;187.029999,
2022-03-15;190.800003,
2022-03-16;194.699997,
2022-03-17;201.699997,
2022-03-18;206.699997,
2022-03-21;214.500000,
2022-03-22;211.369995,
2022-03-23;213.330002,
